Entity	Annotation	Status	Provenance	link
http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2244				=hyperlink("http://www4.wiwiss.fu-berlin.de/sider/resource/drugs/2244")
http://bn.dbpedia.org/resource/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BF%E0%A6%B0%E0%A6%BF%E0%A6%A8				=hyperlink("http://bn.dbpedia.org/resource/%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BF%E0%A6%B0%E0%A6%BF%E0%A6%A8")
http://ca.dbpedia.org/resource/%C3%80cid_acetilsalic%C3%ADlic				=hyperlink("http://ca.dbpedia.org/resource/%C3%80cid_acetilsalic%C3%ADlic")
http://ckb.dbpedia.org/resource/%D8%A6%DB%95%D8%B3%D9%BE%DB%8C%D8%B1%DB%8C%D9%86				=hyperlink("http://ckb.dbpedia.org/resource/%D8%A6%DB%95%D8%B3%D9%BE%DB%8C%D8%B1%DB%8C%D9%86")
http://cs.dbpedia.org/resource/Kyselina_acetylsalicylov%C3%A1				=hyperlink("http://cs.dbpedia.org/resource/Kyselina_acetylsalicylov%C3%A1")
http://data.linkedct.org/resource/intervention/1025				=hyperlink("http://data.linkedct.org/resource/intervention/1025")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2244				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2244")
http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00975				=hyperlink("http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugs/DB00975")
http://data.linkedct.org/resource/intervention/1525				=hyperlink("http://data.linkedct.org/resource/intervention/1525")
http://yago.org/resource/Aspirin				=hyperlink("http://yago.org/resource/Aspirin")
http://data.linkedct.org/resource/intervention/15666				=hyperlink("http://data.linkedct.org/resource/intervention/15666")
http://data.linkedct.org/resource/intervention/15994				=hyperlink("http://data.linkedct.org/resource/intervention/15994")
http://data.linkedct.org/resource/intervention/15998				=hyperlink("http://data.linkedct.org/resource/intervention/15998")
http://data.linkedct.org/resource/intervention/17093				=hyperlink("http://data.linkedct.org/resource/intervention/17093")
http://dbpedia.org/resource/Dipyridamole				=hyperlink("http://dbpedia.org/resource/Dipyridamole")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1471				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/1471")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/18				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/18")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2157				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/2157")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3030				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3030")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3454				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3454")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3489				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/3489")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/426				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/426")
http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/567				=hyperlink("http://www4.wiwiss.fu-berlin.de/dailymed/resource/drugs/567")
http://yago.org/resource/Dipyridamole				=hyperlink("http://yago.org/resource/Dipyridamole")
http://data.linkedct.org/resource/intervention/23255				=hyperlink("http://data.linkedct.org/resource/intervention/23255")
http://data.linkedct.org/resource/intervention/23260				=hyperlink("http://data.linkedct.org/resource/intervention/23260")
http://data.linkedct.org/resource/intervention/23509				=hyperlink("http://data.linkedct.org/resource/intervention/23509")
http://data.linkedct.org/resource/intervention/23554				=hyperlink("http://data.linkedct.org/resource/intervention/23554")
http://data.linkedct.org/resource/intervention/24034				=hyperlink("http://data.linkedct.org/resource/intervention/24034")
http://data.linkedct.org/resource/intervention/27031				=hyperlink("http://data.linkedct.org/resource/intervention/27031")
http://data.linkedct.org/resource/intervention/27032				=hyperlink("http://data.linkedct.org/resource/intervention/27032")
http://data.linkedct.org/resource/intervention/27033				=hyperlink("http://data.linkedct.org/resource/intervention/27033")
http://data.linkedct.org/resource/intervention/27034				=hyperlink("http://data.linkedct.org/resource/intervention/27034")
http://data.linkedct.org/resource/intervention/27035				=hyperlink("http://data.linkedct.org/resource/intervention/27035")
http://data.linkedct.org/resource/intervention/27036				=hyperlink("http://data.linkedct.org/resource/intervention/27036")
http://data.linkedct.org/resource/intervention/27037				=hyperlink("http://data.linkedct.org/resource/intervention/27037")
http://data.linkedct.org/resource/intervention/27038				=hyperlink("http://data.linkedct.org/resource/intervention/27038")
http://data.linkedct.org/resource/intervention/27040				=hyperlink("http://data.linkedct.org/resource/intervention/27040")
http://data.linkedct.org/resource/intervention/27041				=hyperlink("http://data.linkedct.org/resource/intervention/27041")
http://data.linkedct.org/resource/intervention/27875				=hyperlink("http://data.linkedct.org/resource/intervention/27875")
http://data.linkedct.org/resource/intervention/29476				=hyperlink("http://data.linkedct.org/resource/intervention/29476")
http://data.linkedct.org/resource/intervention/29587				=hyperlink("http://data.linkedct.org/resource/intervention/29587")
http://data.linkedct.org/resource/intervention/30877				=hyperlink("http://data.linkedct.org/resource/intervention/30877")
http://data.linkedct.org/resource/intervention/30880				=hyperlink("http://data.linkedct.org/resource/intervention/30880")
http://data.linkedct.org/resource/intervention/31913				=hyperlink("http://data.linkedct.org/resource/intervention/31913")
http://data.linkedct.org/resource/intervention/32409				=hyperlink("http://data.linkedct.org/resource/intervention/32409")
http://data.linkedct.org/resource/intervention/32411				=hyperlink("http://data.linkedct.org/resource/intervention/32411")
http://data.linkedct.org/resource/intervention/32412				=hyperlink("http://data.linkedct.org/resource/intervention/32412")
http://data.linkedct.org/resource/intervention/32414				=hyperlink("http://data.linkedct.org/resource/intervention/32414")
http://data.linkedct.org/resource/intervention/32416				=hyperlink("http://data.linkedct.org/resource/intervention/32416")
http://data.linkedct.org/resource/intervention/32418				=hyperlink("http://data.linkedct.org/resource/intervention/32418")
http://data.linkedct.org/resource/intervention/35161				=hyperlink("http://data.linkedct.org/resource/intervention/35161")
http://data.linkedct.org/resource/intervention/35674				=hyperlink("http://data.linkedct.org/resource/intervention/35674")
http://data.linkedct.org/resource/intervention/35675				=hyperlink("http://data.linkedct.org/resource/intervention/35675")
http://data.linkedct.org/resource/intervention/35842				=hyperlink("http://data.linkedct.org/resource/intervention/35842")
http://data.linkedct.org/resource/intervention/38804				=hyperlink("http://data.linkedct.org/resource/intervention/38804")
http://data.linkedct.org/resource/intervention/4413				=hyperlink("http://data.linkedct.org/resource/intervention/4413")
http://data.linkedct.org/resource/intervention/44452				=hyperlink("http://data.linkedct.org/resource/intervention/44452")
http://data.linkedct.org/resource/intervention/45250				=hyperlink("http://data.linkedct.org/resource/intervention/45250")
